year,month,month_idx,kwh,kwh_degraded,degrade_factor,system_kwp
1,1,1,580.67,580.67,1.0,6.0006
1,2,2,741.02,741.02,1.0,6.0006
1,3,3,925.27,925.27,1.0,6.0006
1,4,4,925.68,925.68,1.0,6.0006
1,5,5,872.25,872.25,1.0,6.0006
1,6,6,753.23,753.23,1.0,6.0006
1,7,7,617.94,617.94,1.0,6.0006
1,8,8,643.23,643.23,1.0,6.0006
1,9,9,704.74,704.74,1.0,6.0006
1,10,10,806.14,806.14,1.0,6.0006
1,11,11,614.84,614.84,1.0,6.0006
1,12,12,630.6,630.6,1.0,6.0006
2,1,13,580.67,577.77,0.995,6.0006
2,2,14,741.02,737.31,0.995,6.0006
2,3,15,925.27,920.64,0.995,6.0006
2,4,16,925.68,921.05,0.995,6.0006
2,5,17,872.25,867.89,0.995,6.0006
2,6,18,753.23,749.46,0.995,6.0006
2,7,19,617.94,614.85,0.995,6.0006
2,8,20,643.23,640.02,0.995,6.0006
2,9,21,704.74,701.22,0.995,6.0006
2,10,22,806.14,802.11,0.995,6.0006
2,11,23,614.84,611.77,0.995,6.0006
2,12,24,630.6,627.44,0.995,6.0006
3,1,25,580.67,574.88,0.99,6.0006
3,2,26,741.02,733.63,0.99,6.0006
3,3,27,925.27,916.04,0.99,6.0006
3,4,28,925.68,916.45,0.99,6.0006
3,5,29,872.25,863.55,0.99,6.0006
3,6,30,753.23,745.71,0.99,6.0006
3,7,31,617.94,611.77,0.99,6.0006
3,8,32,643.23,636.82,0.99,6.0006
3,9,33,704.74,697.71,0.99,6.0006
3,10,34,806.14,798.09,0.99,6.0006
3,11,35,614.84,608.71,0.99,6.0006
3,12,36,630.6,624.31,0.99,6.0006
4,1,37,580.67,572.0,0.9851,6.0006
4,2,38,741.02,729.96,0.9851,6.0006
4,3,39,925.27,911.46,0.9851,6.0006
4,4,40,925.68,911.87,0.9851,6.0006
4,5,41,872.25,859.23,0.9851,6.0006
4,6,42,753.23,741.99,0.9851,6.0006
4,7,43,617.94,608.71,0.9851,6.0006
4,8,44,643.23,633.63,0.9851,6.0006
4,9,45,704.74,694.22,0.9851,6.0006
4,10,46,806.14,794.1,0.9851,6.0006
4,11,47,614.84,605.66,0.9851,6.0006
4,12,48,630.6,621.18,0.9851,6.0006
5,1,49,580.67,569.14,0.9801,6.0006
5,2,50,741.02,726.31,0.9801,6.0006
5,3,51,925.27,906.9,0.9801,6.0006
5,4,52,925.68,907.31,0.9801,6.0006
5,5,53,872.25,854.94,0.9801,6.0006
5,6,54,753.23,738.28,0.9801,6.0006
5,7,55,617.94,605.67,0.9801,6.0006
5,8,56,643.23,630.46,0.9801,6.0006
5,9,57,704.74,690.75,0.9801,6.0006
5,10,58,806.14,790.13,0.9801,6.0006
5,11,59,614.84,602.64,0.9801,6.0006
5,12,60,630.6,618.08,0.9801,6.0006
6,1,61,580.67,566.3,0.9752,6.0006
6,2,62,741.02,722.68,0.9752,6.0006
6,3,63,925.27,902.37,0.9752,6.0006
6,4,64,925.68,902.77,0.9752,6.0006
6,5,65,872.25,850.66,0.9752,6.0006
6,6,66,753.23,734.58,0.9752,6.0006
6,7,67,617.94,602.64,0.9752,6.0006
6,8,68,643.23,627.31,0.9752,6.0006
6,9,69,704.74,687.3,0.9752,6.0006
6,10,70,806.14,786.18,0.9752,6.0006
6,11,71,614.84,599.62,0.9752,6.0006
6,12,72,630.6,614.99,0.9752,6.0006
7,1,73,580.67,563.47,0.9704,6.0006
7,2,74,741.02,719.06,0.9704,6.0006
7,3,75,925.27,897.85,0.9704,6.0006
7,4,76,925.68,898.26,0.9704,6.0006
7,5,77,872.25,846.41,0.9704,6.0006
7,6,78,753.23,730.91,0.9704,6.0006
7,7,79,617.94,599.63,0.9704,6.0006
7,8,80,643.23,624.18,0.9704,6.0006
