month_idx,year,month,kwh_generated,tariff,grid_savings_rs,export_credit_rs,om_cost_rs,net_monthly_rs,cumulative_rs
1,1,1,580.67,8.5,3825.0,888.56,375.0,4338.56,4338.56
2,1,2,741.02,8.5,3825.0,1978.94,375.0,5428.94,9767.49
3,1,3,925.27,8.5,3825.0,3231.84,375.0,6681.84,16449.33
4,1,4,925.68,8.5,3825.0,3234.62,375.0,6684.62,23133.95
5,1,5,872.25,8.5,3825.0,2871.3,375.0,6321.3,29455.25
6,1,6,753.23,8.5,3825.0,2061.96,375.0,5511.96,34967.22
7,1,7,617.94,8.5,3825.0,1141.99,375.0,4591.99,39559.21
8,1,8,643.23,8.5,3825.0,1313.96,375.0,4763.96,44323.17
9,1,9,704.74,8.5,3825.0,1732.23,375.0,5182.23,49505.4
10,1,10,806.14,8.5,3825.0,2421.75,375.0,5871.75,55377.16
11,1,11,614.84,8.5,3825.0,1120.91,375.0,4570.91,59948.07
12,1,12,630.6,8.5,3825.0,1228.08,375.0,4678.08,64626.15
13,2,1,577.77,9.01,4054.5,920.97,375.0,4600.47,69226.61
14,2,2,737.31,9.01,4054.5,2070.93,375.0,5750.43,74977.04
15,2,3,920.64,9.01,4054.5,3392.37,375.0,7071.87,82048.92
16,2,4,921.05,9.01,4054.5,3395.33,375.0,7074.83,89123.75
17,2,5,867.89,9.01,4054.5,3012.15,375.0,6691.65,95815.4
18,2,6,749.46,9.01,4054.5,2158.51,375.0,5838.01,101653.4
19,2,7,614.85,9.01,4054.5,1188.24,375.0,4867.74,106521.14
20,2,8,640.02,9.01,4054.5,1369.66,375.0,5049.16,111570.31
21,2,9,701.22,9.01,4054.5,1810.79,375.0,5490.29,117060.6
22,2,10,802.11,9.01,4054.5,2538.01,375.0,6217.51,123278.11
23,2,11,611.77,9.01,4054.5,1166.04,375.0,4845.54,128123.65
24,2,12,627.44,9.01,4054.5,1278.99,375.0,4958.49,133082.14
25,3,1,574.88,9.5506,4297.77,954.14,375.0,4876.91,137959.05
26,3,2,733.63,9.5506,4297.77,2167.07,375.0,6089.84,144048.89
27,3,3,916.04,9.5506,4297.77,3560.77,375.0,7483.54,151532.43
28,3,4,916.45,9.5506,4297.77,3563.9,375.0,7486.67,159019.1
29,3,5,863.55,9.5506,4297.77,3159.72,375.0,7082.49,166101.59
30,3,6,745.71,9.5506,4297.77,2259.37,375.0,6182.14,172283.73
31,3,7,611.77,9.5506,4297.77,1236.0,375.0,5158.77,177442.5
32,3,8,636.82,9.5506,4297.77,1427.39,375.0,5350.16,182792.66
33,3,9,697.71,9.5506,4297.77,1892.62,375.0,5815.39,188608.05
